"","","",""
"45",21,16,S5556@Selleck-L2700-219cpds-manual.csv-16
"46",21,17,S5556@Selleck-L2700-219cpds-manual.csv-17
"47",21,18,S5556@Selleck-L2700-219cpds-manual.csv-18
"48",21,19,S5556@Selleck-L2700-219cpds-manual.csv-19
"49",21,20,S5556@Selleck-L2700-219cpds-manual.csv-20
"50",22,1,T7811@Targetmol-L2300-640cpds-manual.csv-1
"51",23,1,T7805@Targetmol-L2300-640cpds-manual.csv-1
"52",23,2,T7805@Targetmol-L2300-640cpds-manual.csv-2
"53",23,3,T7805@Targetmol-L2300-640cpds-manual.csv-3
"54",24,1,T7803@Targetmol-L2300-640cpds-manual.csv-1
"55",24,2,T7803@Targetmol-L2300-640cpds-manual.csv-2
"56",24,3,T7803@Targetmol-L2300-640cpds-manual.csv-3
"57",24,4,T7803@Targetmol-L2300-640cpds-manual.csv-4
"58",25,1,T7775@Targetmol-L2300-640cpds-manual.csv-1
"59",25,2,T7775@Targetmol-L2300-640cpds-manual.csv-2
"60",26,1,T7699@Targetmol-L2300-640cpds-manual.csv-1
"61",27,1,T7638@Targetmol-L2300-640cpds-manual.csv-1
"62",28,1,T7612@Targetmol-L2300-640cpds-manual.csv-1
"63",29,1,T7599@Targetmol-L2300-640cpds-manual.csv-1
"64",30,1,T7595@Targetmol-L2300-640cpds-manual.csv-1
"65",30,2,T7595@Targetmol-L2300-640cpds-manual.csv-2
"66",31,1,T7591@Targetmol-L2300-640cpds-manual.csv-1
"67",32,1,T7580@Targetmol-L2300-640cpds-manual.csv-1
"68",33,1,T7572@Targetmol-L2300-640cpds-manual.csv-1
"69",34,1,T7563@Targetmol-L2300-640cpds-manual.csv-1
"70",34,2,T7563@Targetmol-L2300-640cpds-manual.csv-2
"71",34,3,T7563@Targetmol-L2300-640cpds-manual.csv-3
"72",34,4,T7563@Targetmol-L2300-640cpds-manual.csv-4
"73",34,5,T7563@Targetmol-L2300-640cpds-manual.csv-5
"74",34,6,T7563@Targetmol-L2300-640cpds-manual.csv-6
"75",34,7,T7563@Targetmol-L2300-640cpds-manual.csv-7
"76",34,8,T7563@Targetmol-L2300-640cpds-manual.csv-8
"77",34,9,T7563@Targetmol-L2300-640cpds-manual.csv-9
"78",34,10,T7563@Targetmol-L2300-640cpds-manual.csv-10
"79",34,11,T7563@Targetmol-L2300-640cpds-manual.csv-11
"80",34,12,T7563@Targetmol-L2300-640cpds-manual.csv-12
"81",34,13,T7563@Targetmol-L2300-640cpds-manual.csv-13
"82",34,14,T7563@Targetmol-L2300-640cpds-manual.csv-14
"83",34,15,T7563@Targetmol-L2300-640cpds-manual.csv-15
"84",34,16,T7563@Targetmol-L2300-640cpds-manual.csv-16
"85",34,17,T7563@Targetmol-L2300-640cpds-manual.csv-17
"86",34,18,T7563@Targetmol-L2300-640cpds-manual.csv-18
"87",35,1,T7557@Targetmol-L2300-640cpds-manual.csv-1
"88",36,1,T7526@Targetmol-L2300-640cpds-manual.csv-1
"89",37,1,T7512@Targetmol-L2300-640cpds-manual.csv-1
"90",38,1,T7460@Targetmol-L2300-640cpds-manual.csv-1
"91",39,1,T7430@Targetmol-L2300-640cpds-manual.csv-1
"92",40,1,T7422@Targetmol-L2300-640cpds-manual.csv-1
"93",41,1,T7416@Targetmol-L2300-640cpds-manual.csv-1
"94",42,1,T7373@Targetmol-L2300-640cpds-manual.csv-1
"95",42,2,T7373@Targetmol-L2300-640cpds-manual.csv-2
"96",43,1,T7355@Targetmol-L2300-640cpds-manual.csv-1
"97",43,2,T7355@Targetmol-L2300-640cpds-manual.csv-2
"98",43,3,T7355@Targetmol-L2300-640cpds-manual.csv-3
"99",44,1,T7349@Targetmol-L2300-640cpds-manual.csv-1
"100",44,2,T7349@Targetmol-L2300-640cpds-manual.csv-2
"101",45,1,T7304@Targetmol-L2300-640cpds-manual.csv-1
"102",45,2,T7304@Targetmol-L2300-640cpds-manual.csv-2
"103",46,1,T7219@Targetmol-L2300-640cpds-manual.csv-1
"104",46,2,T7219@Targetmol-L2300-640cpds-manual.csv-2
"105",47,1,T7216@Targetmol-L2300-640cpds-manual.csv-1
"106",48,1,T7205@Targetmol-L2300-640cpds-manual.csv-1
"107",49,1,T7182@Targetmol-L2300-640cpds-manual.csv-1
"108",50,1,T7178@Targetmol-L2300-640cpds-manual.csv-1
"109",50,2,T7178@Targetmol-L2300-640cpds-manual.csv-2
"110",50,3,T7178@Targetmol-L2300-640cpds-manual.csv-3
"111",51,1,T7147@Targetmol-L2300-640cpds-manual.csv-1
"112",52,1,T7124@Targetmol-L2300-640cpds-manual.csv-1
"113",52,2,T7124@Targetmol-L2300-640cpds-manual.csv-2
"114",53,1,T7108@Targetmol-L2300-640cpds-manual.csv-1
"115",54,1,T7102@Targetmol-L2300-640cpds-manual.csv-1
"116",55,1,T7066@Targetmol-L2300-640cpds-manual.csv-1
"117",55,2,T7066@Targetmol-L2300-640cpds-manual.csv-2
"118",56,1,T7064@Targetmol-L2300-640cpds-manual.csv-1
"119",57,1,T7018@Targetmol-L2300-640cpds-manual.csv-1
"120",58,1,T7000@Targetmol-L2300-640cpds-manual.csv-1
"121",58,2,T7000@Targetmol-L2300-640cpds-manual.csv-2
"122",59,1,S9400@Selleck-L2700-219cpds-manual.csv-1
"123",59,19,S9400@Selleck-L2700-219cpds-manual.csv-19
"124",60,1,T6977@Targetmol-L2300-640cpds-manual.csv-1
"125",61,1,T6975@Targetmol-L2300-640cpds-manual.csv-1
"126",62,1,T6955@Targetmol-L2300-640cpds-manual.csv-1
"127",62,2,T6955@Targetmol-L2300-640cpds-manual.csv-2
"128",63,1,T6953@Targetmol-L2300-640cpds-manual.csv-1
"129",63,2,T6953@Targetmol-L2300-640cpds-manual.csv-2
"130",63,3,T6953@Targetmol-L2300-640cpds-manual.csv-3
"131",63,4,T6953@Targetmol-L2300-640cpds-manual.csv-4
"132",64,1,T6950@Targetmol-L2300-640cpds-manual.csv-1
"133",65,1,T6929@Targetmol-L2300-640cpds-manual.csv-1
"134",65,2,T6929@Targetmol-L2300-640cpds-manual.csv-2
"135",65,3,T6929@Targetmol-L2300-640cpds-manual.csv-3
"136",65,4,T6929@Targetmol-L2300-640cpds-manual.csv-4
"137",65,5,T6929@Targetmol-L2300-640cpds-manual.csv-5
"138",65,6,T6929@Targetmol-L2300-640cpds-manual.csv-6
"139",65,7,T6929@Targetmol-L2300-640cpds-manual.csv-7
"140",65,8,T6929@Targetmol-L2300-640cpds-manual.csv-8
"141",66,1,T6875@Targetmol-L2300-640cpds-manual.csv-1
"142",67,1,T6871@Targetmol-L2300-640cpds-manual.csv-1
"143",68,1,T6869@Targetmol-L2300-640cpds-manual.csv-1
"144",69,1,T6832@Targetmol-L2300-640cpds-manual.csv-1
"145",70,1,T6820@Targetmol-L2300-640cpds-manual.csv-1
"146",71,1,T6777@Targetmol-L2300-640cpds-manual.csv-1
"147",71,2,T6777@Targetmol-L2300-640cpds-manual.csv-2
"148",72,1,T6714@Targetmol-L2300-640cpds-manual.csv-1
"149",73,1,T6700@Targetmol-L2300-640cpds-manual.csv-1
"150",73,2,T6700@Targetmol-L2300-640cpds-manual.csv-2
"151",73,3,T6700@Targetmol-L2300-640cpds-manual.csv-3
"152",73,4,T6700@Targetmol-L2300-640cpds-manual.csv-4
"153",73,5,T6700@Targetmol-L2300-640cpds-manual.csv-5
"154",73,6,T6700@Targetmol-L2300-640cpds-manual.csv-6
"155",73,7,T6700@Targetmol-L2300-640cpds-manual.csv-7
"156",73,8,T6700@Targetmol-L2300-640cpds-manual.csv-8
"157",74,1,S2773@Selleck-L2700-219cpds-manual.csv-1
"158",75,1,S1472@Selleck-L2700-219cpds-manual.csv-1
"159",75,2,S1472@Selleck-L2700-219cpds-manual.csv-2
"160",75,3,S1472@Selleck-L2700-219cpds-manual.csv-3
"161",75,4,S1472@Selleck-L2700-219cpds-manual.csv-4
"162",76,1,S4058@Selleck-L2700-219cpds-manual.csv-1
"163",76,2,S4058@Selleck-L2700-219cpds-manual.csv-2
"164",76,3,S4058@Selleck-L2700-219cpds-manual.csv-3
"165",76,4,S4058@Selleck-L2700-219cpds-manual.csv-4
"166",76,5,S4058@Selleck-L2700-219cpds-manual.csv-5
"167",76,6,S4058@Selleck-L2700-219cpds-manual.csv-6
"168",77,1,T6643@Targetmol-L2300-640cpds-manual.csv-1
"169",77,2,T6643@Targetmol-L2300-640cpds-manual.csv-2
"170",77,3,T6643@Targetmol-L2300-640cpds-manual.csv-3
"171",77,4,T6643@Targetmol-L2300-640cpds-manual.csv-4
"172",78,1,T6618@Targetmol-L2300-640cpds-manual.csv-1
"173",78,2,T6618@Targetmol-L2300-640cpds-manual.csv-2
"174",78,3,T6618@Targetmol-L2300-640cpds-manual.csv-3
"175",78,4,T6618@Targetmol-L2300-640cpds-manual.csv-4
"176",79,1,T6617@Targetmol-L2300-640cpds-manual.csv-1
"177",79,2,T6617@Targetmol-L2300-640cpds-manual.csv-2
"178",80,1,T6608@Targetmol-L2300-640cpds-manual.csv-1
"179",81,1,T6607@Targetmol-L2300-640cpds-manual.csv-1
"180",82,1,T0030@Targetmol-L2300-640cpds-manual.csv-1
"181",82,2,T0030@Targetmol-L2300-640cpds-manual.csv-2
"182",82,3,T0030@Targetmol-L2300-640cpds-manual.csv-3
"183",82,4,T0030@Targetmol-L2300-640cpds-manual.csv-4
"184",82,5,T0030@Targetmol-L2300-640cpds-manual.csv-5
"185",82,6,T0030@Targetmol-L2300-640cpds-manual.csv-6
"186",83,1,T6541@Targetmol-L2300-640cpds-manual.csv-1
"187",83,2,T6541@Targetmol-L2300-640cpds-manual.csv-2
"188",83,3,T6541@Targetmol-L2300-640cpds-manual.csv-3
"189",83,4,T6541@Targetmol-L2300-640cpds-manual.csv-4
"190",83,5,T6541@Targetmol-L2300-640cpds-manual.csv-5
"191",83,6,T6541@Targetmol-L2300-640cpds-manual.csv-6
"192",83,7,T6541@Targetmol-L2300-640cpds-manual.csv-7
"193",83,8,T6541@Targetmol-L2300-640cpds-manual.csv-8
"194",84,1,T6507@Targetmol-L2300-640cpds-manual.csv-1
"195",85,1,T6504@Targetmol-L2300-640cpds-manual.csv-1
"196",85,2,T6504@Targetmol-L2300-640cpds-manual.csv-2
"197",86,2,T6476@Targetmol-L2300-640cpds-manual.csv-2
"198",86,5,T6476@Targetmol-L2300-640cpds-manual.csv-5
"199",87,1,T6443@Targetmol-L2300-640cpds-manual.csv-1
"200",87,2,T6443@Targetmol-L2300-640cpds-manual.csv-2
"201",88,1,T1065@Targetmol-L2300-640cpds-manual.csv-1
"202",88,2,T1065@Targetmol-L2300-640cpds-manual.csv-2
"203",89,1,T3320@Targetmol-L2300-640cpds-manual.csv-1
"204",89,2,T3320@Targetmol-L2300-640cpds-manual.csv-2
"205",90,1,T6307@Targetmol-L2300-640cpds-manual.csv-1
"206",91,2,T6250@Targetmol-L2300-640cpds-manual.csv-2
"207",92,1,S5710@Selleck-L2700-219cpds-manual.csv-1
"208",92,2,S5710@Selleck-L2700-219cpds-manual.csv-2
"209",92,3,S5710@Selleck-L2700-219cpds-manual.csv-3
"210",92,4,S5710@Selleck-L2700-219cpds-manual.csv-4
"211",93,1,T6186@Targetmol-L2300-640cpds-manual.csv-1
"212",94,1,T6144@Targetmol-L2300-640cpds-manual.csv-1
"213",94,2,T6144@Targetmol-L2300-640cpds-manual.csv-2
"214",94,3,T6144@Targetmol-L2300-640cpds-manual.csv-3
"215",95,1,T6123@Targetmol-L2300-640cpds-manual.csv-1
"216",96,1,T6106@Targetmol-L2300-640cpds-manual.csv-1
"217",97,1,T6074@Targetmol-L2300-640cpds-manual.csv-1
"218",98,1,T6062@Targetmol-L2300-640cpds-manual.csv-1
"219",99,1,T6038@Targetmol-L2300-640cpds-manual.csv-1
"220",100,2,S9065@Selleck-L2700-219cpds-manual.csv-2
"221",100,3,S9065@Selleck-L2700-219cpds-manual.csv-3
"222",100,4,S9065@Selleck-L2700-219cpds-manual.csv-4
"223",100,5,S9065@Selleck-L2700-219cpds-manual.csv-5
"224",100,7,S9065@Selleck-L2700-219cpds-manual.csv-7
"225",100,8,S9065@Selleck-L2700-219cpds-manual.csv-8
"226",100,9,S9065@Selleck-L2700-219cpds-manual.csv-9
"227",101,1,T5962@Targetmol-L2300-640cpds-manual.csv-1
"228",101,2,T5962@Targetmol-L2300-640cpds-manual.csv-2
"229",101,3,T5962@Targetmol-L2300-640cpds-manual.csv-3
"230",101,4,T5962@Targetmol-L2300-640cpds-manual.csv-4
"231",101,5,T5962@Targetmol-L2300-640cpds-manual.csv-5
"232",101,6,T5962@Targetmol-L2300-640cpds-manual.csv-6
"233",101,7,T5962@Targetmol-L2300-640cpds-manual.csv-7
"234",101,8,T5962@Targetmol-L2300-640cpds-manual.csv-8
"235",102,1,T5880@Targetmol-L2300-640cpds-manual.csv-1
"236",103,1,T5845@Targetmol-L2300-640cpds-manual.csv-1
"237",104,1,T5819@Targetmol-L2300-640cpds-manual.csv-1
"238",104,2,T5819@Targetmol-L2300-640cpds-manual.csv-2
"239",105,1,T5786@Targetmol-L2300-640cpds-manual.csv-1
"240",106,2,S3959@Selleck-L2700-219cpds-manual.csv-2
"241",106,3,S3959@Selleck-L2700-219cpds-manual.csv-3
"242",107,1,T5698@Targetmol-L2300-640cpds-manual.csv-1
"243",107,2,T5698@Targetmol-L2300-640cpds-manual.csv-2
"244",108,1,T5632@Targetmol-L2300-640cpds-manual.csv-1
"245",109,5,T5585@Targetmol-L2300-640cpds-manual.csv-5
"246",110,1,T5479@Targetmol-L2300-640cpds-manual.csv-1
"247",111,1,T5457@Targetmol-L2300-640cpds-manual.csv-1
"248",111,3,T5457@Targetmol-L2300-640cpds-manual.csv-3
"249",112,1,T5444@Targetmol-L2300-640cpds-manual.csv-1
"250",113,1,T5391@Targetmol-L2300-640cpds-manual.csv-1
"251",113,2,T5391@Targetmol-L2300-640cpds-manual.csv-2
"252",113,3,T5391@Targetmol-L2300-640cpds-manual.csv-3
"253",113,4,T5391@Targetmol-L2300-640cpds-manual.csv-4
"254",114,1,T5385@Targetmol-L2300-640cpds-manual.csv-1
"255",114,2,T5385@Targetmol-L2300-640cpds-manual.csv-2
"256",115,1,T5376@Targetmol-L2300-640cpds-manual.csv-1
"257",115,2,T5376@Targetmol-L2300-640cpds-manual.csv-2
"258",116,1,T5375@Targetmol-L2300-640cpds-manual.csv-1
"259",117,1,T5336@Targetmol-L2300-640cpds-manual.csv-1
"260",117,2,T5336@Targetmol-L2300-640cpds-manual.csv-2
"261",118,1,T5333@Targetmol-L2300-640cpds-manual.csv-1
"262",119,1,T5225@Targetmol-L2300-640cpds-manual.csv-1
"263",120,1,T5183@Targetmol-L2300-640cpds-manual.csv-1
"264",121,1,T5180@Targetmol-L2300-640cpds-manual.csv-1
"265",122,1,T5120@Targetmol-L2300-640cpds-manual.csv-1
"266",122,2,T5120@Targetmol-L2300-640cpds-manual.csv-2
"267",123,1,T5099@Targetmol-L2300-640cpds-manual.csv-1
"268",123,2,T5099@Targetmol-L2300-640cpds-manual.csv-2
"269",123,3,T5099@Targetmol-L2300-640cpds-manual.csv-3
"270",124,2,S9151@Selleck-L2700-219cpds-manual.csv-2
"271",124,3,S9151@Selleck-L2700-219cpds-manual.csv-3
"272",124,4,S9151@Selleck-L2700-219cpds-manual.csv-4
"273",125,1,T4993@Targetmol-L2300-640cpds-manual.csv-1
"274",126,1,T4979@Targetmol-L2300-640cpds-manual.csv-1
"275",126,2,T4979@Targetmol-L2300-640cpds-manual.csv-2
"276",127,1,T4885@Targetmol-L2300-640cpds-manual.csv-1
"277",128,1,T4811@Targetmol-L2300-640cpds-manual.csv-1
"278",129,1,T4728@Targetmol-L2300-640cpds-manual.csv-1
"279",130,1,T4699@Targetmol-L2300-640cpds-manual.csv-1
"280",131,1,T4612@Targetmol-L2300-640cpds-manual.csv-1
"281",131,2,T4612@Targetmol-L2300-640cpds-manual.csv-2
"282",132,1,S9409@Selleck-L2700-219cpds-manual.csv-1
"283",132,2,S9409@Selleck-L2700-219cpds-manual.csv-2
"284",133,1,T4564@Targetmol-L2300-640cpds-manual.csv-1
"285",134,1,S5371@Selleck-L2700-219cpds-manual.csv-1
"286",134,2,S5371@Selleck-L2700-219cpds-manual.csv-2
"287",134,3,S5371@Selleck-L2700-219cpds-manual.csv-3
"288",134,4,S5371@Selleck-L2700-219cpds-manual.csv-4
"289",134,5,S5371@Selleck-L2700-219cpds-manual.csv-7
"290",134,6,S5371@Selleck-L2700-219cpds-manual.csv-8
"291",134,7,S5371@Selleck-L2700-219cpds-manual.csv-9
"292",134,8,S5371@Selleck-L2700-219cpds-manual.csv-10
"293",134,9,S5371@Selleck-L2700-219cpds-manual.csv-11
"294",134,10,S5371@Selleck-L2700-219cpds-manual.csv-12
"295",134,11,S5371@Selleck-L2700-219cpds-manual.csv-17
"296",134,12,S5371@Selleck-L2700-219cpds-manual.csv-18
"297",134,13,S5371@Selleck-L2700-219cpds-manual.csv-21
"298",134,14,S5371@Selleck-L2700-219cpds-manual.csv-22
"299",134,15,S5371@Selleck-L2700-219cpds-manual.csv-25
"300",134,16,S5371@Selleck-L2700-219cpds-manual.csv-26
"301",134,17,S5371@Selleck-L2700-219cpds-manual.csv-27
"302",134,18,S5371@Selleck-L2700-219cpds-manual.csv-28
"303",135,1,T4503@Targetmol-L2300-640cpds-manual.csv-1
"304",135,2,T4503@Targetmol-L2300-640cpds-manual.csv-2
"305",136,1,T4490@Targetmol-L2300-640cpds-manual.csv-1
"306",137,1,T4423@Targetmol-L2300-640cpds-manual.csv-1
"307",138,1,T4369@Targetmol-L2300-640cpds-manual.csv-1
"308",138,2,T4369@Targetmol-L2300-640cpds-manual.csv-2
"309",138,3,T4369@Targetmol-L2300-640cpds-manual.csv-3
"310",138,4,T4369@Targetmol-L2300-640cpds-manual.csv-4
"311",138,5,T4369@Targetmol-L2300-640cpds-manual.csv-5
"312",139,1,T4363@Targetmol-L2300-640cpds-manual.csv-1
"313",139,2,T4363@Targetmol-L2300-640cpds-manual.csv-2
"314",140,1,T4330@Targetmol-L2300-640cpds-manual.csv-1
"315",140,3,T4330@Targetmol-L2300-640cpds-manual.csv-3
"316",141,1,T4317@Targetmol-L2300-640cpds-manual.csv-1
"317",141,2,T4317@Targetmol-L2300-640cpds-manual.csv-2
"318",142,1,T1385@Targetmol-L2300-640cpds-manual.csv-1
"319",142,2,T1385@Targetmol-L2300-640cpds-manual.csv-2
"320",143,1,T4224@Targetmol-L2300-640cpds-manual.csv-1
"321",143,2,T4224@Targetmol-L2300-640cpds-manual.csv-2
"322",144,1,T4176@Targetmol-L2300-640cpds-manual.csv-1
"323",144,2,T4176@Targetmol-L2300-640cpds-manual.csv-2
"324",144,3,T4176@Targetmol-L2300-640cpds-manual.csv-3
"325",144,4,T4176@Targetmol-L2300-640cpds-manual.csv-4
"326",145,1,T4113@Targetmol-L2300-640cpds-manual.csv-1
"327",145,2,T4113@Targetmol-L2300-640cpds-manual.csv-2
"328",145,3,T4113@Targetmol-L2300-640cpds-manual.csv-3
"329",146,1,T4096@Targetmol-L2300-640cpds-manual.csv-1
"330",146,2,T4096@Targetmol-L2300-640cpds-manual.csv-2
"331",147,1,T4054@Targetmol-L2300-640cpds-manual.csv-1
"332",147,2,T4054@Targetmol-L2300-640cpds-manual.csv-2
"333",148,1,T4030@Targetmol-L2300-640cpds-manual.csv-1
"334",148,2,T4030@Targetmol-L2300-640cpds-manual.csv-2
"335",148,3,T4030@Targetmol-L2300-640cpds-manual.csv-3
"336",148,4,T4030@Targetmol-L2300-640cpds-manual.csv-4
"337",149,2,T4028@Targetmol-L2300-640cpds-manual.csv-2
"338",149,3,T4028@Targetmol-L2300-640cpds-manual.csv-3
"339",150,1,T3S2100@Targetmol-L2300-640cpds-manual.csv-1
"340",150,2,T3S2100@Targetmol-L2300-640cpds-manual.csv-2
"341",150,3,T3S2100@Targetmol-L2300-640cpds-manual.csv-3
"342",151,1,T3S1553@Targetmol-L2300-640cpds-manual.csv-1
"343",152,1,T3S0081@Targetmol-L2300-640cpds-manual.csv-1
"344",152,2,T3S0081@Targetmol-L2300-640cpds-manual.csv-2
"345",153,1,T3994@Targetmol-L2300-640cpds-manual.csv-1
"346",153,2,T3994@Targetmol-L2300-640cpds-manual.csv-2
"347",154,1,T3981@Targetmol-L2300-640cpds-manual.csv-1
"348",154,2,T3981@Targetmol-L2300-640cpds-manual.csv-2
"349",155,1,T3959@Targetmol-L2300-640cpds-manual.csv-1
"350",156,1,T3957@Targetmol-L2300-640cpds-manual.csv-1
"351",157,1,T3904@Targetmol-L2300-640cpds-manual.csv-1
"352",158,1,T3876@Targetmol-L2300-640cpds-manual.csv-1
"353",159,1,T3865@Targetmol-L2300-640cpds-manual.csv-1
"354",160,1,T3727@Targetmol-L2300-640cpds-manual.csv-1
"355",160,2,T3727@Targetmol-L2300-640cpds-manual.csv-2
"356",161,1,T3720@Targetmol-L2300-640cpds-manual.csv-1
"357",162,3,T3703@Targetmol-L2300-640cpds-manual.csv-3
"358",163,1,T3698@Targetmol-L2300-640cpds-manual.csv-1
"359",164,1,T3651@Targetmol-L2300-640cpds-manual.csv-1
"360",165,1,T3644@Targetmol-L2300-640cpds-manual.csv-1
"361",166,1,T3639@Targetmol-L2300-640cpds-manual.csv-1
"362",167,1,T3604@Targetmol-L2300-640cpds-manual.csv-1
"363",168,1,T3581@Targetmol-L2300-640cpds-manual.csv-1
"364",169,1,T3557@Targetmol-L2300-640cpds-manual.csv-1
"365",169,2,T3557@Targetmol-L2300-640cpds-manual.csv-2
"366",170,1,T3543@Targetmol-L2300-640cpds-manual.csv-1
"367",170,2,T3543@Targetmol-L2300-640cpds-manual.csv-2
"368",171,1,T3534@Targetmol-L2300-640cpds-manual.csv-1
"369",171,2,T3534@Targetmol-L2300-640cpds-manual.csv-2
"370",171,3,T3534@Targetmol-L2300-640cpds-manual.csv-3
"371",171,4,T3534@Targetmol-L2300-640cpds-manual.csv-4
"372",171,5,T3534@Targetmol-L2300-640cpds-manual.csv-5
"373",171,6,T3534@Targetmol-L2300-640cpds-manual.csv-6
"374",171,7,T3534@Targetmol-L2300-640cpds-manual.csv-7
"375",171,8,T3534@Targetmol-L2300-640cpds-manual.csv-8
"376",171,9,T3534@Targetmol-L2300-640cpds-manual.csv-9
"377",171,10,T3534@Targetmol-L2300-640cpds-manual.csv-10
"378",171,11,T3534@Targetmol-L2300-640cpds-manual.csv-11
"379",171,12,T3534@Targetmol-L2300-640cpds-manual.csv-12
"380",172,1,T3528@Targetmol-L2300-640cpds-manual.csv-1
"381",173,1,T3484@Targetmol-L2300-640cpds-manual.csv-1
"382",174,2,T3429@Targetmol-L2300-640cpds-manual.csv-2
"383",175,1,T3377@Targetmol-L2300-640cpds-manual.csv-1
"384",176,2,S9017@Selleck-L2700-219cpds-manual.csv-2
"385",177,1,T3332@Targetmol-L2300-640cpds-manual.csv-1
"386",178,1,T3285@Targetmol-L2300-640cpds-manual.csv-1
"387",179,1,T3192@Targetmol-L2300-640cpds-manual.csv-1
"388",180,1,T3173@Targetmol-L2300-640cpds-manual.csv-1
"389",181,1,T3154@Targetmol-L2300-640cpds-manual.csv-1
"390",182,1,T3102@Targetmol-L2300-640cpds-manual.csv-1
"391",182,2,T3102@Targetmol-L2300-640cpds-manual.csv-2
"392",183,1,T3093@Targetmol-L2300-640cpds-manual.csv-1
"393",184,1,T3060@Targetmol-L2300-640cpds-manual.csv-1
"394",184,2,T3060@Targetmol-L2300-640cpds-manual.csv-2
"395",185,1,S9179@Selleck-L2700-219cpds-manual.csv-1
"396",185,2,S9179@Selleck-L2700-219cpds-manual.csv-2
"397",185,3,S9179@Selleck-L2700-219cpds-manual.csv-3
"398",185,4,S9179@Selleck-L2700-219cpds-manual.csv-4
"399",185,5,S9179@Selleck-L2700-219cpds-manual.csv-5
"400",185,6,S9179@Selleck-L2700-219cpds-manual.csv-6
"401",185,7,S9179@Selleck-L2700-219cpds-manual.csv-7
"402",185,8,S9179@Selleck-L2700-219cpds-manual.csv-8
"403",185,9,S9179@Selleck-L2700-219cpds-manual.csv-9
"404",185,10,S9179@Selleck-L2700-219cpds-manual.csv-10
"405",185,11,S9179@Selleck-L2700-219cpds-manual.csv-11
"406",185,12,S9179@Selleck-L2700-219cpds-manual.csv-12
"407",186,1,T3002@Targetmol-L2300-640cpds-manual.csv-1
"408",187,1,T2S2264@Targetmol-L2300-640cpds-manual.csv-1
"409",187,2,T2S2264@Targetmol-L2300-640cpds-manual.csv-2
"410",188,1,T2S1814@Targetmol-L2300-640cpds-manual.csv-1
"411",188,2,T2S1814@Targetmol-L2300-640cpds-manual.csv-2
"412",189,3,S9224@Selleck-L2700-219cpds-manual.csv-3
"413",190,1,T2O2728@Targetmol-L2300-640cpds-manual.csv-1
